ID,Judul,Penulis,Abstrak,Info_24
12610,SKRIPSI STUDI PERENCANAAN KABEL BAWAH TANAH DI PROYEK PERUMAHAN ANVAYA TOWNHOUSE KOTA BOGOR,BAYU SATRIYO UTOMO,"INTISARI Sistem penyaluran listrik terdistribusi dengan dua macam, yaitu saluran distribusi udara dan saluran distribusi bawah tanah. Pemilihan untuk menggunakan kabel jaringan distribusi bawah tanah adalah salah satu alternatif untuk keamanan dan terhindar seperti gangguan pohon, gangguan cuaca, dan memberikan nilai estetika pada bangunan ataupun kota yang menggunakan distribusi saluran kabel bawah tanah. Pada perencanaan ini merencanakan tegangan menengah dan tegangan rendah yaitu dengan menentukan jenis kabel dalam penelitian ini menggunakan kabel NYFGbY dan NYRGbY dengan perlindung fita baja pipi, dan kawat baja. Konstruksi pemasangan kabel sesuai dengan standar konstruksi pemasangan kabel tanah dan dibantu dengan layout yang digambar dengan software Autocad, perencanaan ini juga menghitung susut tegangan dengan dua metode yaitu metode manual dengan tegangan maksimal pada panel Main Distrbution Panel (MDP) menuju Sub Distribusi Panel (SDP) berdasarkan perhitungan didapatkan nilai 2,029 V dengan persetase 0.5% hasil perhitungan telah memenuhi standar SPLN No 72 Tahun 1987 dari hasil hitung manual tidak mencapai 4%, kemudian dengan metode simulasi dengan software ETAP 19.0.1 tegangan maksimal pada panel Main Distribution Panel (MDP) menuju Sub Distribution Panel (SDP) didapatkan susut tegangan pada MDP menuju SDP yaitu 1.75% hasil simulasi memenuhi Standar SPLN No 72 Tahun 1987 dari hasil hitung manual tidak mencapai 4%. Perencanaan ini dibutuhkan dana yang sudah dibuat dengan rencanaan anggaran biaya Sebesar RP. 1.022.689.576,-. Kata kunci: kabel bawah tanah, konstruksi kabel tanah, jenis kabel tanah, susut tegangan.",PRODI_S1_TEKNIK_ELEKTROFAKULTAS_FT
12611,SKRIPSI BENTUK DAN FUNGSI TINDAK TUTUR EKSPRESIF DALAM DIALOG KOMIK GUMP N HELL KARYA ERRIK IRWAN WIBOWO,ADAM NUR MUHAMAD SIDIK,Tidak Tersedia Deskripsi,PRODI_S1_PENDIDIKAN_BAHASA_DAN_SASTRA_INDONESIAFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
12612,SKRIPSI PENGARUH PENAMBAHAN INHIBITOR CRUDE PALM OIL (CPO) TERHADAP LAJU KOROSI DAN KEKERASAN PADA RANTAI MOTOR,FERRY PRASTIADI,"ABSTRAK Rantai merupakan salah satu komponen yang digunakan untuk memindahkan daya dari mesin keroda belakang. Kurangnya perawatan terhadap rantai dapat menimbulkan korosi yang dapat menimbulkan kerusakan pada rantai sehingga dapat mempersingkat masa pakai rantai. Korosi yang terjadi pada rantai motor juga dapat mempengaruhi kekerasan rantai sepeda motor dikarenakan korosi dapat menyebabkan pengeroposan pada rantai sehingga rantai menjadi rapuh dan mudah patah atau putus. Penelitian ini dilakukan untuk menghambat laju korosi pada rantai motor. Spesimen material rantai sepeda motor yang digunakan adalah baja ST 41. Penelitian yang dilakukan yaitu dengan penambahan inhibitor Crude Palm Oil (CPO) pada rantai sepeda motor untuk menganalisis laju korosi dan kekerasannya. Variasi konsentrasi inhibitor yang digunakan dalam penelitian ini adalah 8% CPO, 11% CPO, 14% CPO. Hasil pengujian laju korosi dengan metode polarisasi potensiodinamik efektif pada konsentrasi inhibitor 14% CPO yaitu sebesar 0,022159 mmpy dengan efisiensi inhibitor sebesar 97,33%. Untuk uji kekerasan dengan metode Vikers didapatkan hasil pengukuran yang paling efektif pada konsentrasi sebesar 14% dengan nilai 250,30 HV. Penelitian ini dapat menurunkan laju korosi dan meningkatkan nilai kekerasan. Kata kunci: rantai, korosi, kekerasan, inhibitor, CPO",PRODI_S1_TEKNIK_MESINFAKULTAS_FT
12613,TUGAS AKHIR RANCANG BANGUN SISTEM PENGGERAK BECAK MOTOR HYBRID UNTIDAR MENGGUNAKAN HUB MOTOR BLDC DAN MESIN GENSET,BAGUS EDY SAPUTRO,"ABSTRAK Ketergantungan terhadap bahan bakar fosil memiliki tiga ancaman serius, yakni: Menipisnya cadangan minyak bumi yang diketahui, kenaikan / ketidakstabilan harga akibat laju permintaan yang lebih besar dari produksi minyak, dan polusi gas rumah kaca (terutama CO2) akibat pembakaran bahan bakar fosil. Becak motor hybrid Untidar merupakan salah satu kendaraan dengan bahan bakar alternatif. Becak motor hybrid Untidar menggunakan tenaga baterai sebagai tenaga utamanya dan mesin genset sebagai tenaga cadangannya. Becak motor hybrid Untidar terdiri dari tiga bagian utama yaitu komponen sepeda motor listrik, rangka becak dan mesin genset. Becak motor hybrid Untidar dibuat dengan rangka almunium agar rangka ringan dan kuat kemudian menggunakan motor listrik berdaya 2000 watt, baterai li-ion 72 volt 25 Ah dan menggunakan genset 7000 watt. Dalam penelitian ini dilakukan pengujian becak motor hybrid Untidar dengan variasi beban yang berbeda – beda yaitu, 180 kg, 240 kg, dan 300 kg yang di uji dengan dua kondisi jalan yaitu jalan dengan kemiringan 9° berjarak 18 m dan jalan datar 100 m. Dari hasil pengujian jalan datar 100 m didapatkan pada beban 180 kg kecepatan maksimalnya 57 km/jam, beban 240 kg kecepatan maksimalnya 50 km/jam, beban 300 kg kecepatan maksimalnya 40 km/jam dan pada kondisi jalan dengan kemiringan 9° 18 m didapatkan pada beban 180 kg kecepatan maksimalnya 17 km/jam, pada beban 240 kg kecepatan maksimalnya 13 km/jam, pada beban 300 kg kecepatan maksimalnya 11 km/jam. Untuk pengisian baterai diperlukan waktu 1 jam 30 menit dengan mesin genset. Kata kunci : Sistem penggerak, becak, BLDC, hybrid",PRODI_D3_TEKNIK_MESINFAKULTAS_FT
12614,TUGAS AKHIR TROUBLESHOOTING SISTEM PENGISIAN PADA ENGINE STAND TOYOTA KIJANG 5K,MUHAMMAD DHIMAS SETIAJI,"ABSTRAK Engine stand yang terdapat pada mobil Toyota Kijang di laboratorium teknik mesin Universitas Tidar telah mengalami kerusakan yang belum diketahui penyebabnya.Tujuan penelitian ini yaitu bagaimana troubleshooting sistem pengisian pada engine stand Toyota Kijang 5K, mengetahui penyebab kerusakan, memperbaiki kerusakan dan mengetahui unjuk kerja sistem pengisian. Metode yang dilakukan yaitu melakukan pemeriksaan, melakukan perbaikan , dan melakukan pengujian sistem pengisian. Hasil dari pemeriksaan yaitu alternator terbakar dan didalam komponen alternator mengalami kerusakan, regulator masih baik, vbelt mengalami keretakan, sambungan kabel tidak lengkap dan banyak yang putus, tegangan batrai 12 volt sebelum dilakukan perbaikan. Setalah dilakukan perbaikan kemudian akan dilakukan pengujian pada sistem pengisian dan hasil dari pengujian sistem pengisian dapat bekerja dengan normal. Kata kunci : Troubleshooting, sistem pengisian, engine stand, Toyota kijang",PRODI_D3_TEKNIK_MESINFAKULTAS_FT
12615,TUGAS AKHIR PENGARUH TUNE UP TERHADAP UNJUK KERJA ENGINE STAND TOYOTA KIJANG 5K,AJI SANTOSO,"ABSTRAK Komponen dalam kendaraan merupakan satu kesatuan yang saling berkombinasi agar suatu kendaraan dapat beroperasi dengan baik, kenyamanan kendaraan bergantung pada performa mesin yang baik, yang menjadi syarat utama pada kendaraan dan pengendara itu sendiri, oleh karena itu mesin kendaraan harus memperoleh perawatan agar performa kendaraan dapat lebih optimal dengan melakukan tune up secara berkala. Tujuan penelitian yang ingin di capai penulis ingin mengetahui pentingnya pengaruh tune up terhadap ujuk kerja engine standToyota kijang 5K. Metode penelitian ini dimulai dengan melakukan identifikasi, pemeriksaan, perbaikan, dan pengujian terhadap engine stand totoya kijang 5K. Tekanan kompresi mendapatkan hasil 9 kg/cm2 pada silinder 1,2 dan 3 pada silinder 4 di peroleh 8 kg/cm2, sudut dwell dengan Setandar 520 ± 60 memperoleh hasil 480, putaran idel dengan standard 750 rpm memperoleh hasil 800 rpm, pada putaran 800 rpm sudut pengapian di 80. Kesimpulan yang dapet di ambil setelah dilakukan tune up pada engine stand toyota kijang 5K unjuk kerja menjadi lebih baik dari pada yang sebelumnya. Perawatan penting di lakukan karena kurangnya perawatan pada engine stand akan berpengaruh besar terhadap unjuk kerja pada engine stand tersebut. Kata kunci : Tune up, engine stand, toyota kijang, pengujian",PRODI_D3_TEKNIK_MESINFAKULTAS_FT
12616,TUGAS AKHIR IDENTIFIKASI DAN TROUBLESHOOTING SISTEM PENDINGIN PADA REKONDISI ENGINE STAND TOYOTA KIJANG 5K,NUR ROHMAN CHOIRUL DEWANTARA,"ABSTRAK Pendinginan memiliki suatu peran yang sangat penting pada suatu mesin guna untuk menjaga agar mesin tidak mengalami panas yang berlebihan. Sistem pendingin berfungsi menjaga agar temperatur mesin dalam kondisi yang ideal, sehingga jika sistem pendingin mengalami kerusakan akan menimbulkan gejala overheat dimana kondisi mesin mengalami panas yang berlebihan. Tujuan penelitian ini yaitu mengetahui cara mengindentifikasi troubleshooting sistem pendingin, mengetahui penyebab kerusakan, memperbaiki kerusakan dan mengetahui unjuk kerja sistem pendingin setelah perbaikan. Metode penelitian dilakukan dengan, mengidentifikasi, pemeriksaan, perbaikan dan pengujian. Hasil dari pemeriksaan pada sistem pendingin engine stand Toyota kijang 5K yaitu terjadi kebocoran radiator, thermostat tidak ada, packing seal water pump aus, vbelt retak muai, water jacket kotor dan indikator suhu tidak normal. Setelah dilakukan perbaikan dan pengujian, sistem pendingin engine stand Toyota kijang 5K kembali normal Kata kunci : Sistem pendingin, identifikasi, troubleshooting",PRODI_D3_TEKNIK_MESINFAKULTAS_FT
12617,SKRIPSI UJI RESISTIVITAS TANAH UNTUK PEMASANGAN GROUNDING DAN LIGHTNING PROTECTION PROYEK PLTGU TAMBAK LOROK CCPP 600-850 MW BLOK 3 SEMARANG,DICKY WIJAYANTO,"INTISARI Proyek PLTGU Tambak Lorok CCPP 600-850 MW Blok 3 Semarang merupakan unit pembangkit baru yang dimiliki oleh Indonesia Power Semarang, pembangkit ini dicanangkan untuk menjaga pasokan listrik di Jawa Tengah dan DIY , pengujian kelayakan dari resistivitas tanah diperlukan untuk memaksimalkan sistem kerja grounding & lightning protection. Konsep dasar dari Resistivitas adalah Hukum Ohm. Pada tahun 1826 George Simon Ohm melakukan eksperimen menentukan hubungan antara tegangan V pada penghantar dan arus I yang melalui penghantar dalam batas-batas karakteristik parameter penghantar. Parameter itu disebut resistansi. Nilai yang didapatkan dari pengukuran resistansi akan diolah untuk menentukan karakteristik tanah dan kelayakan operasi. Data yang sudah diambil kemudian diUji Validitasnya untuk menentukan nilai akhir dalam pengukuran yang sudah dilakukan sehingga dapat diketahui nilai akhir sebagai pembanding terhadap standar yaitu menggunakan PUIL (Persyaratan Umum Instalasi Listrik) 2011. Sistem Grounding merupakan suatu jalur instalasi kabel listrik menggunakan sistem pentanahan (ditanam didalam tanah) untuk menghindari terjadinya bahaya yang disebabkan oleh tegangan tinggi, konsleting dan sambaran petir. Sistem Lightning Protection merupakan rangkaian listrik untuk menyalurkan sambaran petir ke permukaan bumi sebagai upaya yang dibuat untuk memberikan keamanan pada suatu bangunan, ataupun peralatan elektronik lainnya. Kata Kunci : Resistivitas Tanah, Uji standar kelayakan untuk pemasangan grounding dan lightning protection.",PRODI_S1_TEKNIK_ELEKTROFAKULTAS_FT
12618,SKRIPSI DETAIL ENGINEERING DESIGN PERLUASAN JARINGAN DISTRIBUSI TENAGA LISTRIK 20KV KAMPUS UNIVERSITAS TIDAR DI GRABAG,OKTIFAH,"INTISARI Kampus Universitas Tidar Grabag merupakan salah satu kampus baru milik kampus Universitas Tidar pusat, kampus Universitas Tidar Grabag yang beralamat di Desa Giriwetan, Kecamatan Grabag, Kabupaten Magelang. Tujuan penelitian ini agar terlaksananya perkuliahan di kampus baru Universitas Tidar Grabag dengan merencanakan jaringan distribusi 20kV menggunakan detail engineering design. Perencanaan ini dilakukan dengan mengukur derajat deviasi dan panjang jalur perencanaan jaringan dari tiang listrik penyambungan sampai lokasi pemasangan gardu Universitas Tidar Grabag. Perencanaan jaringan distribusi dengan jalur sepanjang 1.300 meter menghasilkan konstruksi jaringan distribusi 20kV dengan drop tegangan sebesar 1.275 volt dalam persen 0,064%, menggunakan kabel AAACS 70mm, isolator tumpu dan suspension isolator, panjang tiang 11, 12, dan 13 meter ditanam 1/6 panjang tiang dengan kekuatan tiang 200 daN, 350 daN , dan 500 daN, panjang cross arm 1,4 meter. Perencanaan tersebut sesuai dengan standar PT.PLN. Perhitungan perencanaan perluasan jaringan distribusi tenaga listrik kampus Universitas Tidar Grabag ini senilai Rp. 2.409.374.392,20 Kata kunci : jarinagn distribusi 20kV, kabel, isolator, tiang listrik, cross arm.",PRODI_S1_TEKNIK_ELEKTROFAKULTAS_FT
12619,TUGAS AKHIR STUDI KELAYAKAN HASIL PEMBUATAN PULLEY V MELALUI PROSES PENGECORAN LOGAM MENGGUNAKAN CETAKAN PASIR CO2,MUHAMMAD DANA FADHILAH,"ABSTRAK Pengecoran logam merupakan proses logam yang dicairkan di dalam tungku peleburan kemudian cairan tersebut dituangkan ke dalam cetakan. Tujuan yang ingin dicapai penulis ingin mengetahuai proses pembutan pulley mulai dari proses pembuatan desain, pembuatan pola, pembuatan cetakan, proses pengecoran logam, proses permesinan sampai proses pengujian bahan cor. Proses pengecoran dilakukan menggunakan cetakan pasir CO2 sedangkan proses peleburan menggunakan dapur induksi. Hasil coran yang didapat coran mengalami cacat permukaan kasar, sedangkan hasil uji diperoleh struktur mikro grafit bulat, kekerasan 90,99 HRB atau 187,08 HB. Kesimpulan hasil setelah dilakukan permesinan (bubut) coran tidak mengalami cacat coran. Kata kunci: Pengecoran, logam, pulley, pengujian.",PRODI_D3_TEKNIK_MESINFAKULTAS_FT
12620,TUGAS AKHIR REKAYASA MESIN PEMBUAT FILAMEN DARI SAMPAH BOTOL PET UNTUK 3D PRINTING,DONI BILLY SANTOSO,"ABSTRAK Rekayasa mesin pembuat filamen dari sampah botol pet untuk 3D printing. Telah dilakukan penelitian mengenai pembuatan filamen dari sampah botol PET (Polietilena tereftalat). Sampah plastik tidak lepas dari kehidupan kita, salah satu sampah adalah sampah botol (PET). Saat ini salah satu teknologi yang sedang berkembang yaitu teknologi 3D Printing. Yang pertama pembuatan disan, yang kedua pembuatan alat, yang ketiga pembuatan filamen dengan variasi suhu pembuatan filamen 180˚C, 190˚C dan 200˚C. Hasil pembuatan filamen ada yang berbentuk bulat dan ada pula yang belum bulat sempurna Yang keempat pengujian printing, untuk pengujuan printing Penelitian menunjukkan bahwa filamen dengan suhu 200˚C lebih baik dikarenakan hasil cetak yang sudah halus, sedangkan untuk suhu 180˚C dan 190˚C masih cukup kasar. Kata kunci: 3D Printing, filamen, PET, suhu",PRODI_D3_TEKNIK_MESINFAKULTAS_FT
12621,TUGAS AKHIR DESAIN ZONA PEJALAN KAKI DAN KENDARAAN OPERASIONAL PROSES PRODUKSI DI PT SUMBER MAKMUR ANUGRAH TEXTIL TEMANGGUNG,AHMAD SANTOSO,"ABSTRAK PT Sumber Makmur Anugrah adalah sebuah perusahaan yang bergerak dalam bidang industri tekstil yang terkemuka di Indonesia. Pada area produksi di PT Sumber Makmur Anugrah temanggung penerapan peraturan keselamatan forklift belum dilakukan secara menyeluruh. Hal tersebut dapat dilihat dari lingkungan kerja forklift dan upaya keselamatan penggunaan forklift yang belum memenuhi standar keselamatan. Seperti tidak lengkapnya rambu keselamatan, operator tidak memiliki surat izin operasi, kurangnya penerapan APD serta tidak terdapatnya jalur pejalan kaki pada area kerja forklift. Belum terlaksananya penerapan peraturan secara menyeluruh dapat memicu terjadinya kecelakaan kerja forklift maupun pejalan kaki. Adapun metode pada penelitian ini menggunakan metode HIRA sebagai alat pengambilan data. Metode ini terbagi dalam tiga tahap. Tahap pertama adalah melakukan identifikasi bahaya, Setelah mendapatkan hasil identifikasi bahaya, tahap selanjutnya adalah penilaian risiko dan tahap ketiga adalah pengendalian risiko. Hasil dari penelitian ini memperlihatkan bahwa masih terdapatnya kekurangan dalam menerapkan standar keselamatan kerja antara lain tidak adanya jalur pejalan kaki, kurang lengkapnya rambu keselamatan kerja, kurangnya penggunaan APD serta operator yang belum memiliki SIO (surat izin operasi). Adapun perioritas perbaikan menurut penulis adalah sertifikasi operator, pembuatan jalur untuk pejalan kaki dan kendaraan operasional produksi, penerapan pengunaan APD serta pemasangan rambu keselamatan. Kata Kunci: Demarkasi, Keselamatan Kerja",PRODI_D3_TEKNIK_MESINFAKULTAS_FT
12622,TUGAS AKHIR DESAIN DAN SIMULASI KEKUATAN CHASSIS KENDARAAN PROTOTYPE DIESEL,ARI DWI PURNAMA,"ABSTRAK Kontes Mobil Hemat Energi (KMHE) merupakan kontes mobil yang diikuti oleh semua perguruan tinggi di Indonesia dan diadakan setiap tahun. Rangka merupakan bagian terpenting dari mobil. Rangka harus kuat dan kokoh agar dapat menahan beban kendaraan karena seluruh beban diletakkan di atas chassis. Desain yang baik sangat dibutuhkan agar dalam proses pekerjaan dapat berjalan dengan mudah selain itu juga mempunyai tampilan bagus dan yang terpenting yaitu dalam efisiensi kendaraan. Penelitian ini berjudul “Desain dan Simulasi Kekuatan Chassis Kendaraan Prototype Diesel”. Penelitian dilakukan menggunakan Software Solidworks dan disimulasikan dengan metode Finite Element Analysis (FEA). Penelitian menghasilkan tiga desain yang berbeda yaitu desain-1 yang memiliki panjang 2.462,50 mm dan lebar 840 mm, desain-2 yang memiliki panjang 2.490 mm dan lebar 790 mm, dan desain-3 yang memiliki panjang 2.420 mm dan lebar 800 mm. Desain-1 memiliki tegangan maksimal sebesar 25,363 MPa, desain-2 sebesar 33,798 MPa, dan desain-3 sebesar 25,745 MPa. Regangan desain-1 sebesar 0,00030, desain-2 sebesar 0.00037, dan desain-3 sebesar 0,00029. Desain-1 memiliki nilai perpindahan maksimal sebesar 2,063 mm, desain-2 sebesar 2,295 mm, dan desain-3 sebesar 1,778 mm. Angka keamanan minimal desain-1 sebesar 2,172, desain-2 sebesar 1,575, dan desain-3 sebesar 2,142. Dari ketiga desain tersebut yang memiliki kekuatan terbaik yaitu desain-1 karena memiliki tegangan dan faktor keamanan yang lebih baik dari dua desain lainnya. Sedangkan untuk kekakuan yaitu desain-3 karena memiliki regangan dan perpindahan lebih baik dari kedua desain lainnya. Kata kunci: chassis, desain, simulasi, kekuatan",PRODI_D3_TEKNIK_MESINFAKULTAS_FT
12623,"SKRIPSI PERBANDINGAN VOLUME PADA PEKERJAAN STRUKTURAL DENGAN BUILDING INFORMATION MODELING
(Studi Kasus: Proyek Pembangunan Gedung Laboratorium Terpadu Kampus Sidotopo)",NOR LAYYINATUL ANGGARAINI,"INTISARI Perkembangan BIM (Building Information Modeling) di Indonesia belum banyak digunakan dan masih terbatas dalam penerapannya. BIM dikenal sebagai perwakilan digital yang dari karakter fungsional maupun karakter fisik dari suatu bangunan. Salah satu kegunaan BIM untuk meningkatkan efisiensi untuk perhitungan kuantitas pekerjaan. Salah satu software yang mampu membantu untuk mendesain, mensimulasi, dan memvisualisasi bangunan yang lebih baik yaitu software Revit. Metode yang digunakan adalah BIM untuk mengetahui efektifitas pekerjaan dibandingkan dengan metode manual. Perhitungan dilakukan dengan memodelkan kembali gambar Detailed Engineering Design (DED) 2D ke gambar 3D dengan menggunakan software Revit 2021. Hasil penelitian didapatkan efisiensi volume beton perbedaan selisih terbesar pada kuantitas beton terjadi pada komponen struktur balok, yaitu sebesar 16,68%, sedangkan perbedaan selisih terkecil terjadi pada struktur fondasi (pile cap), yaitu sebesar 0,01%. Efisiensi volume pembesian perbedaan selisih terbesar terjadi pada komponen struktur balok, yaitu sebesar 9,61%, sedangkan komponen pekerjaan struktur yang memiliki efisiensi selisih paling kecil adalah plat lantai, yaitu sebesar 0,61%. Antara kedua metode tersebut, metode BIM mempunyai tingkat akurasi rata-rata lebih baik daripada metode manual. Kata Kunci: BIM, efisiensi, pembesian, pembetonan, Revit 2021",PRODI_S1_TEKNIK_SIPILFAKULTAS_FT
12624,SKRIPSI STUDI KUAT TEKAN BETON MENGGUNAKAN PASIR PEGUNUNGAN KENDENG SEBAGAI PENGGANTI AGREGAT HALUS BETON,MUHAMMAD RYO AL ASHAFF,"INTISARI Penelitian dilatar belakangi karena masyarakat sekitar sering memanfaatkan pasir Pegunungan Kendeng sebagai bahan pengganti agregat halus pembuatan beton dan pengecoran pondasi. Penelitian ini bertujuan sebagai upaya untuk mengetahui kuat tekan beton pada penggunaan pasir Pegunungan Kendeng sebagai campuran agregat halus 0%, 25%, 50%, 75%, 100% pada umur 28 hari. Selain itu, untuk mengetahui pengaruh pasir Pegunungan Kendeng sebagai pengganti sebagian agregat halus terhadap kuat tekan beton. Perencanaan menggunakan mix design SNI 7656-2012 serta pelaksanaan penelitian di Laboratorium Bahan dan Bangunan, Jurusan Teknik Sipil, Fakultas Teknik, Universitas Tidar. Nilai kuat tekan (f’c) yang direncanakan sebesar 25 MPa. Benda uji berbentuk silinder dengan ukuran tinggi 30 cm dan diameter 15 cm. Kuat tekan beton yang dihasilkan pada umur 28 hari dengan menggunakan pasir Pegunungan Kendeng sebagai pengganti agregat halus beton pada persentase 0%, 25%, 50%, 75%, dan 100% berturut-turut sebesar 16,17 MPa, 27,24 MPa, 14,86 MPa, 20,12 MPa, 13,17 MPa. Persentase optimum pasir Pegunungan Kendeng yang dapat digunakan sebagai bahan pengganti agregat halus beton adalah pada persentase 25%. Kata kunci : kuat tekan beton, pasir Pegunungan Kendeng, pengganti agregat halus",PRODI_S1_TEKNIK_SIPILFAKULTAS_FT
12625,SKRIPSI PENGARUH GRADASI BUTIR PASIR PADA BATA RINGAN INTERLOCK DENGAN MENGGUNAKAN PASIR SUNGAI PROGO,IRHAS PRATAMA,"INTISARI Pasir merupakan salah satu bahan pengisi dalam pembuatan bata ringan interlock, hal ini dapat memanfaatkan pasir lokal yang banyak tersedia di sekitar lokasi penelitian dengan karakteristik yang memenuhi syarat SNI untuk bata ringan interlock. Penelitian ini menggunakan pasir sungai Progo sebagai bahan pengisi bata ringan interlock. Tujuan dilaksanakannya penelitian ini ialah untuk mendapatkan nilai persentase variasi diameter butir pasir pada bata ringan interlock terhadap pengujian kuat tekan, bobot isi, dan penyerapan air serta mengetahui pengaruh variasi diameter butir pasir terhadap kuat tekan. Penelitian diawali dengan pemeriksaan karakteristik agregat halus selanjutnya dilakukan perencanaan campuran dengan mix design, kemudian dilakukan pengujian kuat tekan bata ringan interlock pada benda uji kubus berdimensi 10 cm x 10 cm x 10 cm yang mengacu pada SNI 8640:2018 di Laboratorium Struktur Jurusan Teknik Sipil, Fakultas Teknik, Universitas Tidar. Hasil penelitian kuat tekan tertinggi terdapat pada variasi C (d < 4,75) mm sebesar 2,25 MPa, sedangkan untuk kuat tekan terendah terdapat pada variasi A (d < 1,18) mm sebesar 1,11 MPa. Dapat disimpulkan bahwa semakin besar diameter agregat halus yang digunakan maka nilai kuat tekan juga semakin tinggi. Hal ini disebabkan bahwa bata yang mempunyai gradasi maksimum besar cenderung memiliki gradasi butir beragam. Kata kunci: bata interlock, diameter butiran, foam agent, kuat tekan",PRODI_S1_TEKNIK_SIPILFAKULTAS_FT
12626,"SKRIPSI PERANCANGAN SISTEM HYBRID ENERGI TERBARUKAN
STUDI KASUS FAKULTAS TEKNIK UNIVERSITAS TIDAR",AHMAD RIFALDI SULTAN ALFAH REZI,"ABSTRAK Biaya Listrik di Fakultas Teknik Universitas Tidar sangat tinggi., dalam satu hari mencapai 1,943.50 kwh/hari. maka perlu pengurangan harga biaya listtrik dengan menggunakan energi terbarukan. Dalam perancangan energi terbarukan Perlu diketahui terlebih dahulu energi terbarukan yang paling efisien untuk digunakan pada Fakultas Teknik Universitas Tidar dengan cara menghitung konfigurasi dengan cost of energi (COE) dengan menggunakan sistem off grid dan on grid. Hasil dari simulasi ini yaitu mendapatkan konfigurasi yang paling efisien yaitu konfigurasi Panel Surya dan Fuell cell, dengan sistem On Grid. Nilai COE dari Konfigurasi ini yaitu sebesar Rp.1,004.40. Panel surya mengeluarkan energi sebesar 368,505 Kwh/tahun, Fuell cell digunakan sebagai energi pengganti dikarenakan harga bahan bakar Hidrogen lebih mahal dibanding grid. Pada perancangan Panel Surya dan Fuel Cell dengan sistem On Grid , membutuhkan total biaya sebesar Rp18,225,958,695.11, dalam periode operasi 25 tahun. Namun dalam jangka waktu 5,3 tahun akan mulai mengalami keuntungan dengan keuntungan total sebesar Rp8,014,384,000 dibandingan listrik PLN yang memiliki harga Rp.1670/Kwh. Kata Kunci: Listrik, Energi Terbarukan, On Grid, Off Grid, Panel Surya, Fuell Cell, COE",PRODI_S1_TEKNIK_MESINFAKULTAS_FT
12627,SKRIPSI ORIENTASI ARAH SERAT ECENG GONDOK DENGAN MATRIK POLYESTER SEBAGAI BAHAN PEMBUAT DOORTRIM,ALWI AL IDRUS,"ABSTRAK Seiring perkembangan zaman dan teknologi komposit tidak hanya pada komposit yang berbahan sintetis, akan tetapi sudah diarahkan pada komposit alam / nature composites (NACO). Salah satu bahan komposit yang dapat digunakan adalah tumbuhan eceng gondok. Ketersediaan serat alam di Indonesia yang sangat melimpah. Serat alam yang sangat potensial, salah satunya serat eceng gondok sebagai bahan komposit. Komposit tersebut dapat diaplikasikan untuk komponen doortrim. Tujuan penelitian ini adalah menganalisis pengaruh variasi arah serat eceng gondok terhadap ketangguhan impact, kekuatan bending, dan mengamati hasil patahan komposit. Metode penelitian yang digunakan adalah penelitian eksperimental dengan variasi arah serat eceng gondok sebagai bahan penguat komposit terhadap ketangguhan impact dan kekuatan bending. Hasil pengujian ketangguhan impact komposit berpenguat serat eceng gondok tertinggi dengan arah serat 45°/90° sebesar 0,00026 J/mm². Hasil pengujian kekuatan bending komposit didapatkan nilai tertinggi dengan arah serat 0°/90°sebesar 60,48 N/mm². Pengujian SEM menunjukkan adanya matrik retak, debonding, tear, void, dan compatible. Kata Kunci : Komposit, Arah Serat, Eceng Gondok, Ketangguhan Impact, Kekuatan Bending.",PRODI_S1_TEKNIK_MESINFAKULTAS_FT
