No,Kalimat,Judul,Penulis,Fakultas
3,"Faktor pertama macam pupuk (P) diantaranya P1 = pupuk AB Mix dan P2 = pupuk Nano Nutrient sedangkan faktor kedua yaitu Konsentrasi pupuk (D) dengan taraf D0 = 0 ml/l, D1 = 0,5 ml/l, D2 = 1,0 ml/l, D3 = 1,5 ml/l, D4 = 2,0 ml/l.",SKRIPSI AKLIMATISASI ANGGREK Dendrobium tiara beauty >< imelda marina DENGAN KONSENTRASI PUPUK NANO NUTRIEN DAN AB MIX,IKSAN YUDA IRAWAN,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
4,"Hasil penelitian menunjukkan macam pupuk memberikan pengaruh nyata terhadap penambahan jumlah daun, lebar daun, penambahan tinggi batang, panjang daun, penambahan diameter batang, dan penambahan tunas baru tetapi tidak berpengaruh pada parameter kandungan klorofil.",SKRIPSI AKLIMATISASI ANGGREK Dendrobium tiara beauty >< imelda marina DENGAN KONSENTRASI PUPUK NANO NUTRIEN DAN AB MIX,IKSAN YUDA IRAWAN,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
5,"Konsentrasi pupuk memberikan pengaruh nyata terhadap parameter penambahan diameter batang, penambahan tinggi batang, panjang daun, penambahan tunas baru.",SKRIPSI AKLIMATISASI ANGGREK Dendrobium tiara beauty >< imelda marina DENGAN KONSENTRASI PUPUK NANO NUTRIEN DAN AB MIX,IKSAN YUDA IRAWAN,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
6,"Konsentrasi 1-2 ml/l memberikan hasil terbaik pada parameter tinggi batang, panjang daun, penambahan diameter batang dan penambahan tunas baru anggrek Dendrobium.",SKRIPSI AKLIMATISASI ANGGREK Dendrobium tiara beauty >< imelda marina DENGAN KONSENTRASI PUPUK NANO NUTRIEN DAN AB MIX,IKSAN YUDA IRAWAN,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
7,Interaksi antara macam pupuk dan konsentrasi pupuk memberikan pengaruh nyata terhadap penambahan diameter batang dan parameter penambahan tinggi batang.,SKRIPSI AKLIMATISASI ANGGREK Dendrobium tiara beauty >< imelda marina DENGAN KONSENTRASI PUPUK NANO NUTRIEN DAN AB MIX,IKSAN YUDA IRAWAN,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
8,"Kata Kunci : Anggrek Dendrobium, konsentrasi pupuk dan macam pupuk.",SKRIPSI AKLIMATISASI ANGGREK Dendrobium tiara beauty >< imelda marina DENGAN KONSENTRASI PUPUK NANO NUTRIEN DAN AB MIX,IKSAN YUDA IRAWAN,FAKULTAS_FAPERTAPRODI_S1_AGROTEKNOLOGI
1,"ABSTRAK Marom, Mujibul.",SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
2,2022.,SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
3,”Pengembangan Media Pembelajaran Berbasis Virtual Reality (VR) pada Materi Ekosistem”.,SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
4,Skripsi.,SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
5,Program Studi Pendidikan Biologi Fakultas Keguruan dan Ilmu Pendidikan Universitas Tidar.,SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
6,Pembimbing I Dr.,SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
7,"Setiyo Prajoko, M.Pd., Pembimbing II Karunia Galih Permadani, M.Sc.",SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
8,"Kata Kunci: Media pembelajaran, Virtual Reality, Materi Ekosistem Kemajuan bidang teknologi ini telah mempengaruhi berbagai aspek kehidupan baik di bidang ekonomi, politik, kebudayaan, seni dan pendidikan.",SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
9,Berdasarkan studi literatur yang telah dilakukan oleh peneliti materi biologi merupakan materi yang sebagian abstrak begitu pula dengan materi ekosistem sehingga sulit untuk dipahami dan tidak bisa diamati secara langsung.,SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
10,Penelitian ini dilakukan bertujuan untuk mengetahui tingkat kelayakan/validasi serta mengetahui respon siswa dan guru terhadap media berbasis virtual reality pada materi.,SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
11,"Penelitian ini adalah penelitian pengembangan model pengembangan ADDIE (analysis, design, development, implementation, evaluation).",SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
12,"Hasil dari penelitian menunjukan penilaian kevalidan oleh ahli materi dengan skor sebesar 4,04 sehingga dapat dikategorikan layak, selanjutnya berdasarkan penilaian kevalidan oleh ahli media dengan skor sebesar 4,67 dari maksimal skor 5 sehingga dapat dikategorikan sangat layak.",SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
13,"Pada implementasi diujikan secara terbatas pada siswa SMA Muhammadiyah 1 Kota Magelang serta guru mata pelajaran biologi memperoleh tanggapan yang positif, dimana berdasarkan tanggapan siswa mendapatkan skor 4,29 sehingga dapat dikategorikan sangat baik.",SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
14,"Selanjutnya berdasarkan tanggapan guru mendapatkan skor 4,7 dari maksimal skor 5 sehingga dapat dikategorikan sangat baik.",SKRIPSI PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS VIRTUAL REALITY (VR) PADA MATERI EKOSISTEM,MUJIBUL MAROM,PRODI_S1_PENDIDIKAN_BIOLOGIFAKULTAS_KEGURUAN_DAN_ILMU_PENDIDIKAN
1,ABSTRAK Interaksi sosial mengalami perubahan dikarenakan karena Dampak negatif dari kemajuan teknologi yang tak didampingi oleh pengetahuan.,SKRIPSI PENGARUH TERPAAN SMARTPHONE TERHADAP INTERAKSI SOSIAL ANAK SEKOLAH DASAR ATAU USIA 7-12 TAHUN DI KECAMATAN BOYOLALI,MUHAMMAD AULIA ACHSAN,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
2,Beberapa kasus mengenai dampak negatif smartphone ini kerap menimpa anak-anak.,SKRIPSI PENGARUH TERPAAN SMARTPHONE TERHADAP INTERAKSI SOSIAL ANAK SEKOLAH DASAR ATAU USIA 7-12 TAHUN DI KECAMATAN BOYOLALI,MUHAMMAD AULIA ACHSAN,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
3,"Mulai dari kecanduan internet, game, dan juga konten pornografi.",SKRIPSI PENGARUH TERPAAN SMARTPHONE TERHADAP INTERAKSI SOSIAL ANAK SEKOLAH DASAR ATAU USIA 7-12 TAHUN DI KECAMATAN BOYOLALI,MUHAMMAD AULIA ACHSAN,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
4,Tujuan penelitian ini untuk melihat pengaruh terpaan smartphone terhadap interaksi sosial anak Sekolah Dasar di Kecamatan Boyolali.,SKRIPSI PENGARUH TERPAAN SMARTPHONE TERHADAP INTERAKSI SOSIAL ANAK SEKOLAH DASAR ATAU USIA 7-12 TAHUN DI KECAMATAN BOYOLALI,MUHAMMAD AULIA ACHSAN,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
5,Metode yang dilakukan adalah penelitian kuantitatif asosiatif.,SKRIPSI PENGARUH TERPAAN SMARTPHONE TERHADAP INTERAKSI SOSIAL ANAK SEKOLAH DASAR ATAU USIA 7-12 TAHUN DI KECAMATAN BOYOLALI,MUHAMMAD AULIA ACHSAN,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
6,"Teknik sampel yang digunakan adalah purposive sampling dengan perhitungan sampel menggunakan rumus sampling rao purba, sampel yang didapatkan minimal berjumlah 100 responden.",SKRIPSI PENGARUH TERPAAN SMARTPHONE TERHADAP INTERAKSI SOSIAL ANAK SEKOLAH DASAR ATAU USIA 7-12 TAHUN DI KECAMATAN BOYOLALI,MUHAMMAD AULIA ACHSAN,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
7,Hasil penelitian menunjukkan bahwa terpaan smartphone berpengaruh negatif serta signifikan terhadap interaksi sosial anak Sekolah Dasar di Kecamatan Boyolali.,SKRIPSI PENGARUH TERPAAN SMARTPHONE TERHADAP INTERAKSI SOSIAL ANAK SEKOLAH DASAR ATAU USIA 7-12 TAHUN DI KECAMATAN BOYOLALI,MUHAMMAD AULIA ACHSAN,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
8,"Kata kunci: Terpaan Smartphone, Interaksi Sosial Anak, Perilaku Sosial",SKRIPSI PENGARUH TERPAAN SMARTPHONE TERHADAP INTERAKSI SOSIAL ANAK SEKOLAH DASAR ATAU USIA 7-12 TAHUN DI KECAMATAN BOYOLALI,MUHAMMAD AULIA ACHSAN,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
1,ABSTRAK Selama 3 tahun terakhir sustainable living menjadi tren yang semakin meluas dan diterapkan oleh masyarakat Indonesia.,SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
2,Adanya tren ini memunculkan brand yang menyediakan produk dengan label ramah lingkungan.,SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
3,Rata-rata produk tersebut dipasarkan dengan harga yang mahal.,SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
4,"Meskipun demikian, brand dengan konsep sustainable tetap harus bertahan dan bersaing dengan brand lainnya agar mereka dapat mengkomunikasikan nilai dan tujuan mereka.",SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
5,Hal ini berlaku juga dengan jasa wedding organizer bernama Savitri Wedding sebagai sustainable business Penelitian ini bertujuan untuk mengetahui strategi komunikasi pemasran yang digunakan oleh brand Savitri Wedding sebagai sustainable business melalui media sosial Instagram.,SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
6,Penelitian ini menggunakan metode penelitian kualitatif dengan jenis penelitian deskriptif.,SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
7,"Data dalam penelitian ini dikumpulkan melalui kegiatan wawancara, observasi, dan dokumentasi.",SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
8,"Hasil penelitian ini menunjukkan bahwa Savitri Wedding melakukan enam strategi komunikasi pemasaran di media sosial Instagram yakni promosi penjualan, acara dan pengalaman, hubungan masyarakat & publikasi, pemasaran langsung, pemasaran interaktif, serta pemasaran dari mulut ke mulut.",SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
9,"Untuk memaksimalkan strategi komunikasi pemasaran tersebut, Savitri Wedding juga menggunakan strategi pesan dan strategi media sesuai dengan konsep strategi komunikasi pemasaran yang efektif oleh Machfoedz.",SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
10,Dalam strategi pesan Savitri Wedding membagi menjadi empat kategori pesan sesuai dengan tujuan mereka sebagai sustainable business dan menggunakan daya tarik rasional dan emosional.,SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
11,Dalam strategi media Savitri Wedding menggunakan Instagram sebagai platform utama karena dinilai sesuai dengan target audiensnya serta memanfaatkan celah konsumen untuk memaksimalkan respon dari audiens.,SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
12,"Adapun fitur-fitur Instagram yang digunakan Savitri Wedding untuk memaksimalkan kegiatan strategi komunikasi yang mereka jalankan yaitu fitur posting, caption,, hashtag, tag location, guide Instagram, Instagram story, siaran langsung, Instagram shop, direct massage, reels, bio Instagram, dan mention.",SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
13,"Kata Kunci: Strategi Komunikasi Pemasaran, Media Sosial Instagram, Sustainable, Strategi Pesan, Strategi Media",SKRIPSI STRATEGI KOMUNIKASI PEMASARAN SAVITRI WEDDING SEBAGAI SUSTAINABLE BUSINESS DI MEDIA SOSIAL INSTAGRAM,RESTU SRI SAPUTRIE,PRODI_S1_ILMU_KOMUNIKASIFAKULTAS_ILMU_SOSIAL_DAN_POLITIK
1,ABSTRAK Tanaman kopi telah menjadi salah satu komoditas ekspor unggulan di sektor perkebunan Indonesia.,SKRIPSI ANALISIS FAKTOR-FAKTOR YANG MEMPENGARUHI EKSPOR KOPI INDONESIA KE MESIR PERIODE 1985-2021,NOVRITIAN KURNIA PRATAMA,PRODI_S1_EKONOMI_PEMBANGUNANFAKULTAS_FE
2,Peningkatan permintaan kopi di Mesir disebabkan oleh beberapa alasan di antaranya Masyarakat mesir mampu mengolah berbagai macam produk olahan kopi menjadi bernilai ekonomis.,SKRIPSI ANALISIS FAKTOR-FAKTOR YANG MEMPENGARUHI EKSPOR KOPI INDONESIA KE MESIR PERIODE 1985-2021,NOVRITIAN KURNIA PRATAMA,PRODI_S1_EKONOMI_PEMBANGUNANFAKULTAS_FE
3,"Pemasaran yang menekankan pada kopi instan dan biji kopi panggang atau kopi giling (roasted & grind coffee), cafe atau kedai kopi yang berkembang pesat.",SKRIPSI ANALISIS FAKTOR-FAKTOR YANG MEMPENGARUHI EKSPOR KOPI INDONESIA KE MESIR PERIODE 1985-2021,NOVRITIAN KURNIA PRATAMA,PRODI_S1_EKONOMI_PEMBANGUNANFAKULTAS_FE
4,Proses inovasi produk yang semakin berkembang sehingga masyarakat Mesir dapat menikmati kopi lebih mudah.,SKRIPSI ANALISIS FAKTOR-FAKTOR YANG MEMPENGARUHI EKSPOR KOPI INDONESIA KE MESIR PERIODE 1985-2021,NOVRITIAN KURNIA PRATAMA,PRODI_S1_EKONOMI_PEMBANGUNANFAKULTAS_FE
